,post_code,post_code_suffix
360,98133,5210
361,98177,3638
362,98133,5744
363,98133,5748
364,98133,5828
365,98133,5824
366,98056,3920
367,98056,3920
368,98056,3932
369,98056,3947
370,98056,3945
371,98056,3948
372,98056,3901
373,98022,7776
374,98056,3871
375,98056,3877
376,98056,3801
377,98056,3907
378,98056,3802
379,98056,3836
380,98056,3908
381,98003,3837
382,98003,3826
383,98010,1271
384,98010,1201
385,98056,3869
386,98038,8990
387,98056,3869
388,98168,1649
389,98168,1737
390,98056,8332
391,98056,2705
392,98075,7141
393,98075,7143
394,98075,9566
395,98075,9570
396,98075,9570
397,98056,3832
398,98056,3832
399,98033,8012
400,98053,2228
401,98053,2225
402,98053,7619
403,98014,6717
404,98056,3514
405,98056,3814
406,98056,3445
407,98056,3418
408,98077,7509
409,98077,7547
410,98077,7548
411,98077,7597
412,98077,6794
413,98056,2478
414,98056,2476
415,98056,2428
416,98115,6115
417,98115,6006
418,98115,6012
419,United States,98115
420,98115,6035
421,98115,6031
422,98115,4723
423,98115,3404
424,98115,3407
425,98115,3428
426,98115,4824
427,98115,5105
428,98115,5106
429,98115,3734
430,98115,5134
431,98117,5132
432,98107,2843
433,98103,5815
434,98107,2006
435,98107,2027
436,98107,2036
437,98107,2012
438,98107,2012
439,98117,4246
440,98117,5123
441,98117,4145
442,98117,4145
443,98117,4145
444,98117,5311
445,98117,5312
446,98117,5324
447,98117,5324
448,98117,5330
449,98117,5249
450,98117,5202
451,98117,5202
452,98117,5102
453,98117,2935
454,98117,4649
455,98107,3552
456,98107,3552
457,98107,3667
458,98107,3526
459,98107,3258
460,98103,8208
461,98133,3313
462,98074,7111
463,98105,4801
464,98103,7634
465,98103,7654
466,98103,7622
467,98103,7659
468,98103,7658
469,98103,7636
470,98055,6531
471,98055,6578
472,98116,3432
473,98116,3406
474,98116,3408
475,98116,3408
476,98005,4053
477,98022,7734
478,98133,3049
479,98198,8243
480,98003,3733
481,98092,2502
482,98051,9568
483,98051,9575
484,98070,6104
485,98148,2135
486,98031,0439
487,98055,7333
488,98055,7331
489,98031,1508
490,98038,6405
491,98038,6449
492,98058,0208
493,98058,0216
494,98038,7811
495,98038,7806
496,98038,7823
497,98056,2164
498,United States,98004
499,98004,6870
500,98004,6836
501,98004,7013
502,98004,6841
503,98075,9695
504,98075,7100
505,98075,9622
506,98115,6748
507,98115,6747
508,98115,5630
509,98053,2217
510,98011,2901
511,98011,2907
512,98052,3762
513,98117,2115
514,98003,4823
515,98003,4931
516,98003,4823
517,98038,5100
518,98038,5104
519,98038,5103
520,98038,5103
521,98004,1633
522,98004,1613
523,98117,3522
524,98117,3522
525,98117,3522
526,98117,3517
527,98117,3642
528,98075,7141
529,98133,6242
530,98133,6239
531,98006,1134
532,98144,3209
533,98199,1035
534,98177,5408
535,98117,2519
536,98117,2437
537,98117,2433
538,98117,2445
539,98117,2520
540,98117,2548
541,98117,2434
542,United States,98199
543,98199,1702
544,98199,1719
545,98199,2744
546,98116,2323
547,United States,98116
548,98116,2322
549,98116,2322
550,98030,7992
551,98023,4001
552,98023,2187
553,98023,2177
554,98070,6331
555,98198,8500
556,98144,5835
557,98144,5829
558,98144,5811
559,98118,4813
560,98118,4826
561,98118,4837
562,98118,4824
563,98118,4822
564,98118,5211
565,United States,98108
566,98108,3658
567,98166,4241
568,98166,4138
569,98166,4227
570,98022,9361
571,98092,9765
572,United States,98092
573,98042,5409
574,98042,9229
575,98042,5409
576,98070,6002
577,98058,0521
578,98058,9711
579,United States,98038
580,98038,7802
581,98146,2323
582,98077,7633
583,98077,7633
584,98077,7672
585,98077,7656
586,98077,7657
587,98077,7658
588,98103,4437
589,98133,4208
590,98133,4207
591,98011,5905
592,98011,2325
593,98011,2329
594,98077,7702
595,98077,7850
596,98008,5513
597,98004,7436
598,98075,7902
599,98075,7902
600,98075,7923
601,98075,7912
602,98075,7912
603,98074,3440
604,98074,3454
605,98074,3429
606,98074,3428
607,98074,3442
608,98074,3426
609,98074,3427
610,98074,3442
611,98033,4907
612,United States,98004
613,United States,98059
614,98003,4050
615,98003,4058
616,98004,1642
617,98006,1912
618,98007,6226
619,98007,6020
620,98007,6020
621,98007,6223
622,98004,7317
623,98056,2250
624,98040,3117
625,98004,6221
626,98023,8122
627,98023,8125
628,98023,8126
629,98004,6731
630,98004,2715
631,98004,2603
632,98008,2647
633,98008,2940
634,98008,2668
635,98008,2939
636,98008,2934
637,98008,2602
638,98008,2233
639,98008,2236
640,98008,2213
641,98008,2005
642,98052,4642
643,98004,2052
644,98004,2052
645,98004,2016
646,98028,4770
647,98028,4770
648,98028,4771
649,98028,5177
650,98125,3435
651,98125,4258
652,98038,8358
653,98038,5209
654,98038,8357
655,98038,8356
656,98038,8369
657,United States,98038
658,98038,8362
659,98038,8377
660,98038,8317
661,98008,2312
662,98008,2313
663,98004,4047
664,98004,3624
665,98072,9327
666,98055,6581
667,98006,3543
668,98105,2059
669,98105,2005
670,98105,2028
671,98022,8914
672,98022,9719
673,98023,3959
674,98070,6573
675,98070,6442
676,98070,6922
677,98031,2427
678,98105,5422
679,98146,2816
680,98146,2168
681,98146,2957
682,98146,3520
683,98146,2968
684,98146,2933
685,98146,2724
686,98146,2929
687,98146,2913
688,98146,2808
689,98057,3468
690,98178,4546
691,98075,9682
692,98075,9682
693,98075,7460
694,98053,4709
695,98133,5305
696,98133,5008
697,98133,5018
698,98011,3308
699,98028,3669
700,98011,3307
701,98011,3315
702,98040,5607
703,98040,5617
704,98031,3340
705,98031,1102
706,98031,1102
707,98031,2196
708,98031,1323
709,United States,98055
710,98177,3919
711,98177,3924
712,98146,2515
713,98042,8408
714,98022,8425
715,United States,98028
716,98028,4756
717,98177,4821
718,98118,5716
719,United States,98288
720,98045,9418
721,98019,6305
722,98033,8014
723,98006,6332
724,98103,3816
725,98103,3143
726,98070,8415
727,98007,5918
728,98168,1455
729,98168,1468
730,98168,1445
731,98168,1316
732,98168,1377
733,98168,2015
734,98168,1505
735,98055,5206
736,98055,5206
737,98019,8178
738,98019,8186
739,98019,8186
740,98019,8187
741,98019,8184
742,98019,8183
743,98109,3134
744,98109,2908
745,98109,2841
746,98109,2552
747,98109,2503
748,98109,2140
749,98109,3112
750,98125,5020
751,98022,9158
752,98022,9746
753,98022,7746
754,98070,6619
755,98198,6363
756,98031,2052
757,98031,2048
758,United States,98038
759,98038,6454
760,98038,7720
761,98144,3228
762,98144,3230
763,98027,5456
764,98045,8652
765,98045,9104
766,98004,7242
767,98004,7409
768,98004,7246
769,98075,7465
770,98075,7469
771,98024,6502
772,98033,7530
773,98033,8409
774,98053,4710
775,98053,7720
776,98053,7808
777,98014,9501
778,98014,9504
779,98136,1811
780,98136,1811
781,98136,1856
782,United States,98136
783,98011,3248
784,98011,1742
785,98077,9491
786,United States,98077
787,98126,2112
788,98010,9309
789,98010,9312
790,98010,9310
791,98010,9763
792,98010,9750
793,98004,3326
794,98004,3402
795,98014,9643
796,98014,9637
797,98148,1410
798,98033,4839
799,98033,4825
800,98033,4820
801,98177,5305
802,98177,5418
803,98177,5445
804,98177,5322
805,98177,5325
806,98177,5424
807,98177,5423
808,98177,5448
809,98177,5430
810,98199,1905
811,98199,1909
812,98199,1919
813,98031,1350
814,98105,4715
815,98022,2604
816,98022,2257
817,98011,3016
818,98103,4403
819,98146,3043
820,98146,3028
821,98146,3028
822,United States,98022
823,98022,8908
824,98022,9053
825,98003,4803
826,98092,3641
827,98092,3218
828,98092,3113
829,98198,4334
830,98038,6418
831,98177,4208
832,98168,1213
833,98168,2907
834,98168,2339
835,98115,7104
836,98105,5515
837,98033,8204
838,United States,98033
839,98033,8231
840,98033,4433
841,United States,98033
842,United States,98033
843,98053,7911
844,98053,7940
845,98053,7932
846,98053,7708
847,98077,7110
848,98034,1558
849,98034,1517
850,98177,4423
851,98177,4417
852,98024,8743
853,98024,5703
854,98117,3128
855,98126,2425
856,98126,2425
857,98126,2429
858,98126,2431
859,98116,4239
860,98116,4206
861,98116,4207
862,98116,4213
863,98116,4219
864,98116,4214
865,98011,3701
866,98119,2335
867,United States,98119
868,98119,2358
869,98058,7960
870,98058,7927
871,98058,7905
872,98058,7980
873,98058,7917
874,98058,7982
875,98058,7948
876,98058,7938
877,98058,7958
878,98058,7984
879,98058,7935
880,98168,1248
881,98168,2342
882,98168,2361
883,98168,1808
884,98103,4022
885,98103,4020
886,98188,5016
887,98188,4513
888,98022,8606
889,98022,9070
890,98023,2092
891,98001,2637
892,98051,9045
893,98198,4820
894,98198,4216
895,United States,98198
896,98042,3152
897,98042,3069
898,98059,4692
899,98059,4582
900,98059,4885
901,98059,4533
902,98027,8747
903,98027,8731
904,98045,8833
905,United States,98116
906,98116,2246
907,98116,2259
908,98144,4944
909,98075,9477
910,98075,9472
911,98105,2928
912,98052,4033
913,98052,4100
914,98053,7909
915,98053,8103
916,98053,7989
917,United States,98077
918,98077,7304
919,98077,7304
920,98077,6703
921,98077,5006
922,98077,7302
923,98112,2114
924,98144,3806
925,98118,5611
926,98052,5939
927,98052,5928
928,98052,5910
929,98052,5851
930,98052,5851
931,98077,5669
932,98092,8431
933,98004,1730
934,98004,1713
935,98126,2847
936,98126,2828
937,98056,3508
938,98056,3546
939,98056,3544
940,98155,5620
941,98008,3812
942,98008,3409
943,98008,3409
944,98008,3402
945,98008,3816
946,98199,3019
947,98199,3019
948,98199,3137
949,98199,3707
950,98199,2430
951,98133,4114
952,United States,98133
953,98133,3704
954,98133,3702
955,98059,7314
956,98059,5503
957,98059,7548
958,98059,7936
959,98059,7921
960,98059,7913
961,98059,7913
962,98059,7958
963,98059,7939
964,98059,8822
965,98059,8808
966,98059,7455
967,98033,8546
968,98033,8547
969,98033,8426
970,98033,8426
971,98033,8421
972,98033,8609
973,98059,7820
974,98007,7600
975,98011,7246
976,98011,7233
977,98011,7204
978,98011,7217
979,98011,7224
980,98011,7230
981,98005,1707
982,98005,1715
983,98005,1715
984,98136,2240
985,98031,3240
986,98115,7034
987,98023,2968
988,98023,2904
989,98023,2904
990,98023,2904
991,98023,2663
992,98023,2735
993,98023,2737
994,98118,2901
995,98118,2918
996,98118,3448
997,98118,3035
998,98118,2860
999,98118,2860
1000,98118,3319
1001,98118,3357
1002,98118,3621
1003,98118,3835
1004,98118,3825
1005,98118,4242
1006,98118,4242
1007,98118,4235
1008,98118,3443
1009,98118,3457
1010,98118,3459
1011,98028,3270
1012,98198,9207
1013,98155,3516
1014,98001,3039
1015,98052,1712
1016,98052,4649
1017,98354,9718
1018,98003,3342
1019,98053,3025
1020,98053,3026
1021,98053,3036
1022,98053,3028
1023,98074,7050
1024,United States,98112
1025,98112,3742
1026,98112,2332
1027,98112,2334
1028,98112,2328
1029,98112,2333
1030,98112,3718
1031,98074,5454
1032,98034,5904
1033,98034,5906
1034,98022,8632
1035,98042,5542
1036,98092,5923
1037,98042,4006
1038,98038,6634
1039,98178,3620
1040,98105,2163
1041,98115,7813
1042,98052,6837
1043,98053,8612
1044,98053,2646
1045,98053,2631
1046,98053,2633
1047,98014,8752
1048,98072,6239
1049,United States,98072
1050,98072,8160
1051,98072,8986
1052,98102,4234
1053,98102,4212
1054,98125,4116
1055,98125,4106
1056,98058,2854
1057,98058,2867
1058,98072,8911
1059,98072,6300
1060,98072,9347
1061,98072,9321
1062,98072,6511
1063,98030,6603
1064,98030,6618
1065,98034,2707
1066,98034,2769
1067,98034,2742
1068,98034,2704
1069,98133,8727
1070,98133,8727
1071,98177,4801
1072,98023,7376
1073,United States,98023
1074,98003,8602
1075,98029,7594
1076,98029,6329
1077,98029,7576
1078,98029,7557
1079,98029,7572
1080,98003,7154
1081,98003,7154
1082,98072,9367
1083,98155,5525
1084,98155,5536
1085,98155,5529
1086,98155,1557
1087,98155,1556
1088,98155,1518
1089,98042,4559
1090,98177,3801
1091,98125,6402
1092,98125,6408
1093,98022,9224
1094,98102,4132
1095,98112,2838
1096,98014,6215
1097,98117,2001
1098,98028,4461
1099,98028,4461
1100,98107,2553
1101,98107,4247
1102,98107,4247
1103,98107,3350
1104,98107,3325
1105,98107,3326
1106,98107,3321
1107,98107,2537
1108,98107,3329
1109,98178,4020
1110,98178,4011
1111,98178,4022
1112,98178,4038
1113,98178,4504
1114,98178,4523
1115,98178,4439
1116,98178,4415
1117,98118,6160
1118,98118,6126
1119,98122,3164
1120,98122,3127
1121,98122,4929
1122,98199,2730
1123,98199,2830
1124,98199,2819
1125,98199,2827
1126,98023,3523
1127,98023,3536
1128,98023,8257
1129,98002,5652
1130,98117,4641
1131,98122,6247
1132,98166,2917
1133,98166,2917
1134,98166,2906
1135,United States,98166
1136,98022,8343
1137,98022,9781
1138,98022,7747
1139,98058,9714
1140,98038,8813
1141,98146,2403
1142,98146,2504
1143,98146,2502
1144,98146,2503
1145,98146,2408
1146,98146,2538
1147,98146,2511
1148,98178,4934
1149,98178,4934
1150,98045,8794
1151,98040,3031
1152,98040,3031
1153,98008,5834
1154,98008,5813
1155,98177,3432
1156,98072,9647
1157,98072,9649
1158,98072,9613
1159,98118,2103
1160,98118,2145
1161,98118,2129
1162,98118,2523
1163,98117,4304
1164,98117,5432
1165,United States,98117
1166,98117,5426
1167,98117,3639
1168,98117,5425
1169,98117,5417
1170,98117,5424
1171,98117,5424
1172,98117,5448
1173,98117,4302
1174,98033,8017
1175,98033,8020
1176,United States,98033
1177,United States,98033
1178,98033,7417
1179,98033,8149
1180,98033,6788
1181,98033,5168
1182,98033,5145
1183,98033,5151
1184,98033,5119
1185,98033,5718
1186,98033,8209
1187,98052,1934
1188,98033,5235
1189,98033,6318
1190,98033,6710
1191,98074,3940
1192,98033,8325
1193,98033,8538
1194,98033,8302
1195,98033,8342
1196,98033,5921
1197,98005,1561
1198,United States,98053
1199,98033,4921
1200,98033,4916
1201,98033,4927
1202,98033,4926
1203,98033,4919
1204,98033,4917
1205,98033,4908
1206,98033,4937
1207,98033,4935
1208,98033,5608
1209,98033,4973
1210,98033,5644
1211,98033,5658
1212,98033,5650
1213,98033,4944
1214,98033,4476
1215,98033,4476
1216,98033,4960
1217,98033,4837
1218,98033,4841
1219,98033,6929
1220,98033,4769
1221,98033,5725
1222,98144,2544
1223,98144,2538
1224,98144,2539
1225,98144,3313
1226,United States,98144
1227,98144,4024
1228,98144,3301
1229,98144,3251
1230,98117,5845
1231,98117,5940
1232,98115,6405
1233,98115,6405
1234,98115,6533
1235,98103,5448
1236,98103,5737
1237,98103,5403
1238,98103,5424
1239,98103,5735
1240,98004,3725
1241,98070,7030
1242,98070,7034
1243,98042,4937
1244,98042,4908
1245,98042,4924
1246,98042,4978
1247,98007,3948
1248,98007,3948
1249,98115,7235
1250,98144,6016
1251,98126,2823
1252,98136,1213
1253,98040,3418
1254,98040,3422
1255,98116,3130
1256,98003,3860
1257,98058,9576
1258,98058,9575
1259,98058,9545
1260,98058,9537
1261,98058,9542
1262,98058,9538
1263,98058,9542
1264,98058,9539
1265,98032,7821
1266,98032,7822
1267,98032,7812
1268,98032,7088
1269,98032,7132
1270,98032,7109
1271,98032,7620
1272,98032,7025
1273,98032,7625
1274,98032,7623
1275,98032,7137
1276,98032,7135
1277,98032,7181
1278,98032,7112
1279,98032,7134
1280,98001,1424
1281,98001,1424
1282,98074,3340
1283,98074,3342
1284,98074,3341
1285,98001,2208
1286,98001,2838
1287,98001,2836
1288,98001,2522
1289,98001,2848
1290,98001,1569
1291,98001,1556
1292,98001,1556
1293,98001,1564
1294,98001,1560
1295,98001,2528
1296,98001,2818
1297,98001,1403
1298,98198,6781
1299,98052,5814
1300,98019,8166
1301,98019,8163
1302,98092,7321
1303,98022,7755
1304,98092,2732
1305,98003,5900
1306,98003,5903
1307,98003,5906
1308,98023,8309
1309,98023,8405
1310,98023,8405
1311,98023,8426
1312,98023,8349
1313,United States,98070
1314,98032,3018
1315,98059,8622
1316,98059,8650
1317,98045,9269
1318,98006,7142
1319,98006,8992
1320,98006,8917
1321,98006,7149
1322,98006,8908
1323,United States,98024
1324,98024,9749
1325,98107,4948
1326,98103,7031
1327,98052,5202
1328,98028,4253
1329,98028,4249
1330,98072,6909
1331,United States,98072
1332,98072,6346
1333,98072,6346
1334,98019,8352
1335,98019,8405
1336,98058,9112
1337,98058,9112
1338,98058,9111
1339,98058,9002
1340,98058,9020
1341,98058,9061
1342,98058,9061
1343,98058,9008
1344,98058,9166
1345,98058,9116
1346,98058,9110
1347,98058,9135
1348,98058,9162
1349,98058,9011
1350,98058,9066
1351,98058,9041
1352,98058,9035
1353,98005,1400
1354,98030,5131
1355,98030,7963
1356,98030,7994
1357,98112,2432
1358,98112,2432
1359,98112,2433
1360,United States,98112
1361,98112,2411
1362,98002,7727
1363,98030,5137
1364,98053,3388
1365,98053,3388
1366,98053,8331
1367,98053,8311
1368,98053,8334
1369,98053,8321
1370,98053,8337
1371,98005,1037
1372,98053,8557
1373,98031,1946
1374,98102,4514
1375,98102,4517
1376,98102,4518
1377,98112,3929
1378,98112,3931
1379,98112,3504
1380,98112,3322
1381,98112,3530
1382,98112,3533
1383,98112,3509
1384,98112,3517
1385,98112,3514
1386,98112,3518
1387,98112,2808
1388,98112,2808
1389,98057,5731
1390,98057,5724
1391,98057,5724
1392,98057,5529
1393,98031,2249
1394,98177,4736
1395,98177,4756
1396,98028,4670
1397,98116,4316
1398,98199,2416
1399,98199,3631
1400,98199,3806
1401,98199,3807
1402,United States,98199
1403,98199,3801
1404,98199,3626
1405,98199,3713
1406,98199,3725
1407,United States,98199
1408,98199,3851
1409,98199,3706
1410,98199,3902
1411,98199,3904
1412,98199,2424
1413,98199,3105
1414,98199,3105
1415,98199,3104
1416,98199,3104
1417,98075,7448
1418,98011,4817
1419,98011,4837
1420,98011,4829
1421,98011,4808
1422,98011,4819
1423,98002,7676
1424,98014,6313
1425,98014,6313
1426,98126,3008
1427,98077,9484
1428,98058,9206
1429,98058,9216
1430,98058,9202
1431,98058,9651
1432,98058,9648
1433,98058,9674
1434,98058,9683
1435,98058,7304
1436,98058,7304
1437,98019,8366
1438,98040,4631
1439,98155,2147
1440,98034,2708
1441,98034,2754
1442,98022,8648
1443,98034,2719
1444,98033,8011
1445,98001,3829
1446,98001,3837
1447,United States,98010
1448,98051,9690
1449,98051,9543
1450,United States,98042
1451,98042,4022
1452,98045,9279
1453,98045,9279
1454,98022,8924
1455,98188,2225
1456,98178,5001
1457,98027,8302
1458,98027,8364
1459,98027,8355
1460,United States,98045
1461,98045,8721
1462,98045,9254
1463,98045,9254
1464,98058,5372
1465,98058,5379
1466,98058,6122
1467,98058,5307
1468,98058,6026
1469,98058,5343
1470,98058,5550
1471,98006,4517
1472,98006,7101
1473,98004,3432
1474,98199,2607
1475,98052,5139
1476,98053,2605
1477,98053,8434
1478,98053,2529
1479,98053,2606
1480,98028,4365
1481,98028,3903
1482,98072,8157
1483,98108,1518
1484,98072,8765
1485,98053,2712
1486,United States,98053
1487,98053,8712
1488,98053,8711
1489,98053,8704
1490,98166,1061
1491,98058,4635
1492,United States,98058
1493,98058,4720
1494,98058,4718
1495,98058,4718
1496,98058,6043
1497,98058,6055
1498,98058,6055
1499,98058,6003
1500,98058,4640
1501,98058,6114
1502,98058,6103
1503,98058,6110
1504,United States,98058
1505,98058,6106
1506,98058,5325
1507,98058,5519
1508,98058,5508
1509,98058,5537
1510,98007,4013
1511,98007,4013
1512,98007,4121
1513,98052,6011
1514,98038,7574
1515,98034,2040
1516,98038,7570
1517,98038,7572
1518,98038,7517
1519,98038,7511
1520,98038,7530
1521,98038,8532
1522,98038,7551
1523,98038,7519
1524,98038,7573
1525,98033,4526
1526,98034,2848
1527,98118,4116
1528,98118,3925
1529,98118,3921
1530,98118,3921
1531,98118,3923
1532,98118,4131
1533,98019,6807
1534,98027,8370
1535,98005,1419
1536,98034,2862
1537,98168,2631
1538,98168,2632
1539,98168,2637
1540,98168,2637
1541,98168,2637
1542,98168,2667
1543,98168,2633
1544,98168,2633
1545,98168,2647
1546,98168,2647
1547,98168,2642
1548,98168,2600
1549,98168,2702
1550,98168,2711
1551,98168,2029
1552,98002,7616
1553,98002,7617
1554,98002,7705
1555,98125,4648
1556,98125,4654
1557,98125,4614
1558,98125,4621
1559,98125,4621
1560,98125,3818
1561,98125,3845
1562,98008,5316
1563,98008,5313
1564,98059,5563
1565,98038,8227
1566,98038,6785
1567,98058,2890
1568,98052,3467
1569,98045,9222
1570,98045,9207
1571,98045,9229
1572,98045,9241
1573,98045,9242
1574,98045,9202
1575,98059,8948
1576,98059,9041
1577,98059,8207
1578,98019,8135
1579,98019,8172
1580,98019,8132
1581,98052,3208
1582,98116,3221
1583,98144,4228
1584,98144,4312
1585,98144,4812
1586,98144,4856
1587,98144,4868
1588,98003,5939
1589,98003,5920
1590,United States,98023
1591,98126,3832
1592,98052,3903
1593,98052,3972
1594,98030,5023
1595,98030,5023
1596,98030,5089
1597,98115,4681
1598,98115,4654
1599,98115,4668
1600,98042,8257
1601,United States,98042
1602,98042,8237
1603,98042,8264
1604,98022,9020
1605,98092,9237
1606,98019,7506
1607,98019,7506
1608,98168,4013
1609,98168,3974
1610,98168,4113
1611,98168,4108
1612,98059,5557
1613,98059,5429
1614,98059,4961
1615,98059,5157
1616,98059,5007
1617,98027,6977
1618,98027,7316
1619,98027,8386
1620,98027,6712
1621,98027,7360
1622,98027,6441
1623,98045,9533
1624,98052,6228
1625,98052,6218
1626,98006,1312
1627,United States,98075
1628,98024,5707
1629,98024,8718
1630,98024,9604
1631,98011,2329
1632,98005,1115
1633,United States,98005
1634,98005,1425
1635,98005,1025
1636,98053,8408
1637,98053,8452
1638,98034,3903
1639,98155,6654
1640,98155,6652
1641,98077,5841
1642,United States,98077
1643,98077,7222
1644,98103,3125
1645,98103,3204
1646,98103,3203
1647,98070,6721
1648,98070,6223
1649,98144,6512
1650,98052,2912
1651,98038,6105
1652,98038,6131
1653,98038,6122
1654,98038,6136
1655,98038,6113
1656,98038,6140
1657,98038,6140
1658,United States,98038
1659,98038,7437
1660,98038,6133
1661,98038,7412
1662,98038,7459
